Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
teukeseh,teuleubèh,0.60,10,1.00,0.20,0.20
teukejot,teuceuèk,0.56,9,1.00,0.20,0.20
teugok,teugôh,0.71,8,1.00,0.80,0.80
teugoh,teubôh,0.71,9,1.00,1.00,1.00
teugo,teugôh,0.71,8,1.00,0.80,0.80
teuceuek,teuceuèk,0.89,1,1.00,0.40,0.40
teuboh,tubôh,0.67,8,1.00,0.70,0.70
teubeng,leubéng,0.75,5,1.00,1.00,1.00
tet-tot,teurmomètèr,0.46,9,1.00,0.10,0.10
tenda,tènda,0.83,1,1.00,0.30,0.30
tempe,tumpôi,0.57,9,1.00,0.20,0.20
tempe,tumpôi,0.57,9,1.00,0.20,0.20
tema,tèma,0.80,1,1.00,0.30,0.30
tem,témpé,0.57,10,1.00,0.30,0.30
telepisi,teupiléh,0.44,7,1.00,0.10,0.10
teksi,tikôh,0.50,10,1.00,0.10,0.10
tebat,debèt,0.67,7,1.00,0.10,0.10
tauge,teugôk,0.57,10,1.00,0.10,0.10
taroh,tapéh,0.67,10,1.00,0.50,0.50
tarep,trép,0.60,5,1.00,0.10,0.10
tarek,parék,0.67,6,1.00,0.10,0.10
tapeuse,tapeusé,0.88,1,1.00,0.20,0.20
tapeh,tapeusé,0.62,5,1.00,0.10,0.10
tanjong,sanjông,0.75,5,1.00,1.00,1.00
tangkeh,tangké,0.71,6,1.00,1.00,1.00
tangke,pangkèe,0.75,5,1.00,0.80,0.80
tangilek,tilék,0.50,9,1.00,0.10,0.10
tanggong,punggông,0.67,10,1.00,0.90,0.90
tanggoh,tangkéh,0.75,2,1.00,1.00,1.00
tandeng,tanggông,0.67,9,1.00,0.80,0.80
tamse,damée,0.67,7,1.00,0.10,0.10
tampureh,sampôreuna,0.55,6,1.00,0.10,0.10
tampuleng,tulông,0.56,6,1.00,0.10,0.10
tampok,jampôk,0.71,6,1.00,0.60,0.60
tameng,kamèng,0.71,5,1.00,0.50,0.50
tameh,maméh,0.67,7,1.00,0.20,0.20
tambo,gambé,0.67,7,1.00,0.10,0.10
tamadon,tamadôn,0.88,1,1.00,0.30,0.30
talo,lalô,0.60,9,1.00,0.20,0.20
takse,lakèe,0.67,6,1.00,0.20,0.20
takot,pakèt,0.67,8,1.00,0.20,0.20
taklok,tampôk,0.57,10,1.00,0.20,0.20
taklet,laklém,0.57,9,1.00,0.30,0.30
takjop,tanjông,0.50,10,1.00,0.10,0.10
tablet,tèbat,0.50,10,1.00,0.20,0.20
syuko,sukèe,0.50,6,1.00,0.10,0.10
syetan,syèdaga,0.50,9,1.00,0.10,0.10
syedara,sandéwara,0.60,5,1.00,0.20,0.20
syedaga,sandéwara,0.50,8,1.00,0.20,0.20
syarikoh,syarikôh,0.89,1,1.00,0.20,0.20
suwe,syukô,0.50,10,1.00,0.10,0.10
susot,sugôt,0.67,5,1.00,0.10,0.10
suson,èsèlon,0.62,5,1.00,0.10,0.10
surot,sugôt,0.67,6,1.00,0.20,0.20
suroh,puréh,0.67,4,1.00,0.10,0.10
supe,seupét,0.57,9,1.00,0.10,0.10
sunteng,sanjông,0.62,10,1.00,0.60,0.60
sunggoh-sunggoh,sunggôh-sunggôh,0.88,1,1.00,0.10,0.10
sulotan,silophôn,0.56,10,1.00,0.10,0.10
sulong,gulông,0.71,5,1.00,0.50,0.50
sulet,pulôt,0.67,9,1.00,0.20,0.20
suleng,gulông,0.71,5,1.00,0.50,0.50
sukee,ukeè,0.60,6,1.00,0.20,0.20
sukarela,sukèe,0.50,7,1.00,0.20,0.20
sugot,sulét,0.67,4,1.00,0.10,0.10
sudep,susôt,0.50,10,1.00,0.10,0.10
strop,sikrôp,0.57,10,1.00,0.10,0.10
sosah,sôhsah,0.71,2,1.00,0.20,0.20
sop,supé,0.60,9,1.00,0.20,0.20
soneta,sulôtan,0.50,6,1.00,0.10,0.10
sohsah,séksa,0.50,4,1.00,0.10,0.10
soh,sôh,0.75,2,1.00,0.20,0.20
skema,seumaté,0.50,9,1.00,0.10,0.10
siribee,singkèe,0.50,8,1.00,0.10,0.10
sereutoh,sereutôh,0.89,1,1.00,0.20,0.20
sirep,sirènè,0.62,4,1.00,0.20,0.20
sirene,tirèe,0.50,9,1.00,0.10,0.10
sipre,sipôt,0.67,3,1.00,0.10,0.10
sipot,pipèt,0.67,5,1.00,0.20,0.20
siploh,triplèk,0.50,8,1.00,0.10,0.10
singkee,lingkôk,0.62,10,1.00,0.60,0.60
singet,singkèe,0.62,6,1.00,0.10,0.10
sinde,singèt,0.57,10,1.00,0.10,0.10
simeureulet,seureulông,0.55,9,1.00,0.10,0.10
silophon,piléhan,0.50,9,1.00,0.10,0.10
sikureuengploh,sikureuengplôh,0.93,1,1.00,0.30,0.30
sikrop,strôp,0.50,10,1.00,0.10,0.10
siklep-siklap,sikureuengplôh,0.40,8,1.00,0.10,0.10
sijudo,sindé,0.50,9,1.00,0.10,0.10
sibandeng,tandéng,0.56,6,1.00,0.30,0.30
seurene,seureulông,0.64,7,1.00,0.40,0.40
seurumpet,meutumpôk,0.60,10,1.00,0.20,0.20
seureleng,seurenè,0.67,9,1.00,0.60,0.60
seureulong,seuneulhông,0.75,6,1.00,1.00,1.00
seurabee,ceurapèe,0.67,4,1.00,0.20,0.20
seupot,seupôh,0.71,5,1.00,0.60,0.60
seupoh,seudéh,0.71,7,1.00,0.70,0.70
seupet,seupôh,0.71,5,1.00,0.60,0.60
seunuson,peususôn,0.67,5,1.00,0.20,0.20
seunungkee,seulangkôt,0.64,4,1.00,0.30,0.30
seunte,teuntèe,0.75,2,1.00,0.40,0.40
seuneuron,seuneulhông,0.67,10,1.00,0.60,0.60
seuneupet,peuseupôt,0.70,5,1.00,0.50,0.50
seuneulhong,seumeulhôh,0.64,9,1.00,0.40,0.40
seunareng,ceundrông,0.70,7,1.00,0.70,0.70
seunambong,peulampông,0.64,10,1.00,0.90,0.90
seunalop,seunalèn,0.78,2,1.00,0.60,0.60
seunalen,seunambông,0.64,6,1.00,0.40,0.40
seumulet,seumpét,0.62,9,1.00,0.30,0.30
seumporna,seumpét,0.56,8,1.00,0.20,0.20
seumpet,seurumpét,0.70,10,1.00,1.00,1.00
seumike,seumaté,0.62,8,1.00,0.20,0.20
seumeulhoh,seureulông,0.64,7,1.00,0.40,0.40
seumen,seumbô,0.71,4,1.00,0.40,0.40
seumbo,teumbôn,0.62,9,1.00,0.30,0.30
seumateh,geumaséh,0.67,6,1.00,0.30,0.30
seumate,geumadèe,0.67,10,1.00,0.80,0.80
seuliseh,seulimèng,0.60,10,1.00,0.20,0.20
seulimeng,keuliléng,0.70,2,1.00,0.20,0.20
seulidek,seuliséh,0.67,2,1.00,0.10,0.10
seulangkot,meujanggôt,0.64,10,1.00,0.80,0.80
seudeh,peudéh,0.71,3,1.00,0.30,0.30
seubaroh,meutarôh,0.67,6,1.00,0.20,0.20
seubaro,meusaré,0.62,9,1.00,0.30,0.30
sep,tôp,0.50,10,1.00,0.20,0.20
sente,menteuôt,0.56,10,1.00,0.20,0.20
seng,sanè,0.60,10,1.00,0.30,0.30
sel,salôp,0.50,10,1.00,0.10,0.10
seksa,èseukrém,0.50,10,1.00,0.10,0.10
sege,sugôt,0.50,10,0.00,0.00,0.00
sayen,sabôn,0.67,5,1.00,0.10,0.10
sawo,sabé,0.60,10,1.00,0.20,0.20
sate,sanè,0.60,9,1.00,0.30,0.30
sarong,jaréng,0.71,6,1.00,0.60,0.60
sareng,jaréng,0.71,6,1.00,0.60,0.60
sare,sanè,0.60,9,1.00,0.10,0.10
santon,pantôn,0.71,4,1.00,0.50,0.50
sanjong,ranténg,0.62,10,1.00,0.70,0.70
sanggop,panggôi,0.62,10,1.00,0.80,0.80
sanggoi,panggôi,0.75,3,1.00,1.00,1.00
sane,sabé,0.60,10,1.00,0.10,0.10
sandewara,syèdara,0.56,7,1.00,0.10,0.10
samporeuna,seumpôrna,0.50,9,1.00,0.10,0.10
sampoh,lampôh,0.71,3,1.00,0.30,0.30
saloran,lalôrat,0.62,6,1.00,0.30,0.30
salop,èsèlon,0.62,9,1.00,0.40,0.40
salen,sabôn,0.67,10,1.00,0.40,0.40
saleh,halôh,0.67,10,1.00,0.40,0.40
salee,sagèe,0.67,10,1.00,0.40,0.40
saket,pakèt,0.67,5,1.00,0.10,0.10
sagop,sanggôp,0.62,5,1.00,0.20,0.20
sagee,cagée,0.67,9,1.00,0.20,0.20
saengan,kandôngan,0.60,8,1.00,0.20,0.20
sabong,sabôn,0.67,10,1.00,0.40,0.40
sabon,èsèlon,0.62,9,1.00,0.50,0.50
sabe,sanè,0.60,10,1.00,0.20,0.20
s'en,seurenè,0.50,10,1.00,0.10,0.10
rusok,rusôk,0.83,1,1.00,0.20,0.20
runtoh,rèktor,0.57,8,1.00,0.10,0.10
rumpet,tumpôi,0.57,10,1.00,0.20,0.20
rumeh,runtôh,0.57,10,1.00,0.20,0.20
rumbee,gumbôk,0.57,10,1.00,0.30,0.30
rujee,rumbèe,0.57,9,1.00,0.10,0.10
roket,takôt,0.50,10,1.00,0.10,0.10
roh,rôh,0.75,1,1.00,0.50,0.50
ro,rokèt,0.50,8,0.00,0.00,0.00
rioh,tikôh,0.50,10,1.00,0.20,0.20
rincong,ginsèng,0.62,9,1.00,0.50,0.50
rhot,phét,0.60,10,1.00,0.60,0.60
rhoi,dhôi,0.60,7,1.00,0.30,0.30
rhem,khém,0.60,7,1.00,0.20,0.20
reutek,deutèk,0.71,7,1.00,0.70,0.70
reuruntoh,reuruntôh,0.90,1,1.00,0.10,0.10
reuoh,reubôh,0.71,3,1.00,0.30,0.30
reuncong,geunténg,0.67,9,1.00,0.60,0.60
reudok,reuték,0.71,2,1.00,0.20,0.20
reubot,reubôh,0.71,2,1.00,0.20,0.20
reubong,leubéng,0.75,4,1.00,1.00,1.00
reuboh,leubèh,0.71,7,1.00,0.70,0.70
resimen,seulimèng,0.50,8,1.00,0.10,0.10
resep,resimèn,0.50,10,1.00,0.10,0.10
rektor,èlèktron,0.50,7,1.00,0.30,0.30
rekening,reuncông,0.56,4,1.00,0.10,0.10
reflektor,proyèktor,0.50,4,1.00,0.10,0.10
meusulet,meubulèe,0.67,9,1.00,0.30,0.30
rawot,lawét,0.67,5,1.00,0.20,0.20
raong,rambông,0.62,7,1.00,0.10,0.10
ranteng,ranggông,0.67,10,1.00,0.90,0.90
rante,ranténg,0.62,5,1.00,0.10,0.10
ransom,gandôm,0.57,3,1.00,0.10,0.10
rangkoi,tangkéh,0.62,10,1.00,0.80,0.80
ranggong,tinggông,0.67,10,1.00,0.90,0.90
rampeng,lambông,0.62,9,1.00,0.60,0.60
raminet,minèt,0.57,7,1.00,0.30,0.30
rambong,ranténg,0.62,10,1.00,0.80,0.80
rambee,tambô,0.50,10,1.00,0.20,0.20
raket,pakèt,0.67,8,1.00,0.20,0.20
raket,pakèt,0.67,8,1.00,0.20,0.20
radio,radiô,0.83,1,1.00,0.10,0.10
racon,racôn,0.83,1,1.00,0.10,0.10
puwet,pulôt,0.67,4,1.00,0.20,0.20
puweh,puléh,0.67,7,1.00,0.20,0.20
puwajeb,pumalèe,0.50,9,1.00,0.10,0.10
putoh-putoh,pubeureutôh,0.50,8,1.00,0.10,0.10
putoh,puléh,0.67,8,1.00,0.40,0.40
puteng,peunténg,0.67,10,1.00,0.40,0.40
puteh,puputôh,0.62,10,1.00,0.30,0.30
pureh,peutrôh,0.62,10,1.00,0.30,0.30
puree,urèe,0.60,6,1.00,0.10,0.10
puputoh,putôh,0.57,10,1.00,0.50,0.50
puputeh,putôh-putôh,0.62,7,1.00,0.40,0.40
pupuleh,pumeuklèh,0.60,6,1.00,0.40,0.40
pupiyoh,pupuléh,0.62,6,1.00,0.30,0.30
puphon,tutôong,0.50,10,1.00,0.10,0.10
pupansion,pumasén,0.56,8,1.00,0.10,0.10
puntong,puténg,0.71,9,1.00,1.00,1.00
punggong,ranggông,0.67,9,1.00,0.50,0.50
punggok,unggôi,0.57,8,1.00,0.40,0.40
pumungken,seunungkèe,0.55,8,1.00,0.10,0.10
pumeungkleh,peuniléh,0.55,10,1.00,0.20,0.20
pumeulek,pumeuklèh,0.70,2,1.00,0.20,0.20
pumeukleh,pupuléh,0.56,10,1.00,0.20,0.20
pumerdeka,meurdèhka,0.50,8,1.00,0.10,0.10
pumasen,masén,0.57,10,1.00,0.20,0.20
pumameh,peujampôh,0.60,4,1.00,0.10,0.10
pumalee,pumamèh,0.62,4,1.00,0.10,0.10
pulot,puléh,0.67,8,1.00,0.50,0.50
puleh,pulôt,0.67,9,1.00,0.30,0.30
pudiom,pudiôm,0.86,1,1.00,0.10,0.10
pucok,pacôk,0.67,6,1.00,0.20,0.20
pubusot,pubeusôt,0.78,2,1.00,0.30,0.30
pubeutoi,pumeulèk,0.56,10,1.00,0.20,0.20
pubeusot,pubeutôi,0.67,4,1.00,0.30,0.30
pubeureutoh,peureuséh,0.64,10,1.00,0.50,0.50
pubeungeh,mubungkôh,0.60,9,1.00,0.30,0.30
pubangket,mubungkôh,0.60,10,1.00,0.20,0.20
pubandeng,peulindông,0.64,10,1.00,0.30,0.30
proyektor,prospèktus,0.55,7,1.00,0.10,0.10
proteh,puputôh,0.50,10,1.00,0.20,0.20
prospektus,protèh,0.40,7,1.00,0.10,0.10
presidium,resimèn,0.44,9,1.00,0.10,0.10
presiden,pansiôn,0.50,10,1.00,0.10,0.10
preh,kréh,0.60,10,1.00,0.50,0.50
predikat,prèsidèn,0.50,6,1.00,0.10,0.10
pre,tupée,0.50,10,1.00,0.10,0.10
praho,prèh,0.60,3,1.00,0.10,0.10
potokopi,politèknik,0.45,10,1.00,0.10,0.10
pot-pot,pôtôkopi,0.50,7,1.00,0.20,0.20
porselen,pers'èn,0.50,7,1.00,0.10,0.10
politeknik,politèknik,0.91,1,1.00,0.20,0.20
polem,parlemèn,0.56,10,1.00,0.10,0.10
plok,émlak,0.50,10,1.00,0.30,0.30
planet,peulagôt,0.56,10,1.00,0.10,0.10
piyoh,pupiyôh,0.62,3,1.00,0.10,0.10
pipet,picét,0.67,6,1.00,0.10,0.10
pinto,panté,0.67,4,1.00,0.10,0.10
pilem,hèlem,0.67,7,1.00,0.10,0.10
pileh,piléhan,0.62,10,1.00,0.30,0.30
pikeran,pètran,0.57,7,1.00,0.20,0.20
pike,singkèe,0.50,9,1.00,0.10,0.10
picet,pijét,0.67,4,1.00,0.10,0.10
phon-phon,puphôn,0.44,8,1.00,0.10,0.10
phon,èsèlon,0.50,10,1.00,0.20,0.20
phet,dhôt,0.60,8,1.00,0.10,0.10
peuunyet,meuunyèt,0.78,2,1.00,0.20,0.20
peutundok,peukeundô,0.60,10,1.00,0.40,0.40
peutumpok-tumpok,peutumpôk-tumpôk,0.89,1,1.00,0.10,0.10
peutroh,peurôh,0.71,7,1.00,1.00,1.00
peutho,peuthèe,0.75,2,1.00,0.40,0.40
peuthee,peutalô,0.62,10,1.00,0.50,0.50
peuteumbon,peureumèn,0.70,4,1.00,1.00,1.00
peutakot,peulagôt,0.67,7,1.00,0.40,0.40
peususon,seunusôn,0.67,4,1.00,0.30,0.30
peuseupot,peukeujôt,0.70,7,1.00,0.70,0.70
peusambong,meulambông,0.73,6,1.00,1.00,1.00
peurisee,peurisèe,0.89,1,1.00,0.10,0.10
peureute,pubeureutôh,0.67,10,1.00,0.90,0.90
peureuseh,peureudèe,0.70,10,1.00,1.00,1.00
peuraho,peurôh,0.71,4,1.00,1.00,1.00
peunyareng,peundukông,0.64,8,1.00,0.50,0.50
pileuh,péteunah,0.56,8,1.00,0.10,0.10
pilehan,piléh,0.57,4,1.00,0.10,0.10
pijet,picét,0.67,5,1.00,0.20,0.20
peutron,meutrôn,0.75,6,1.00,1.00,1.00
peuteuntee,peutundôk,0.60,10,1.00,0.20,0.20
peutenah,peuteuntèe,0.64,10,1.00,0.30,0.30
peutaot,meutaôt,0.75,5,1.00,1.00,1.00
peutalo,peutakôt,0.67,9,1.00,0.80,0.80
peutaklok,taklôk,0.56,10,1.00,0.10,0.10
peusare,peugadèe,0.67,10,1.00,0.90,0.90
peuroh,peudéh,0.71,10,1.00,1.00,1.00
peurhot,peutaôt,0.62,6,1.00,0.30,0.30
peureusen,keureukôn,0.70,10,1.00,1.00,1.00
peureumen,peureuséh,0.70,10,1.00,1.00,1.00
peureulee,peureumèn,0.70,6,1.00,0.70,0.70
peureudee,ceureudék,0.70,8,1.00,0.80,0.80
peunyunteng,peunyaréng,0.64,8,1.00,0.40,0.40
peunteng,euntông,0.75,7,1.00,1.00,1.00
peunileh,peunajôh,0.67,7,1.00,0.20,0.20
peungaseh,peunajôh,0.67,7,1.00,0.20,0.20
peuneng,peunténg,0.78,2,1.00,1.00,1.00
peulunco,meuluncô,0.78,2,1.00,0.20,0.20
peulicen,peulindông,0.64,5,1.00,0.20,0.20
peulampong,peuampôn,0.70,10,1.00,1.00,1.00
meusilang-saleng,meuampông-ampông,0.56,6,1.00,0.10,0.10
meuseuliseh,seuliséh,0.64,2,1.00,0.10,0.10
meusare,meusaéng,0.67,10,1.00,0.50,0.50
meusampeng,meusaéng,0.70,9,1.00,1.00,1.00
meusagop,meusaéng,0.67,5,1.00,0.40,0.40
meureuoh,peureuséh,0.70,10,1.00,1.00,1.00
meurdehka,meureuôh,0.56,9,1.00,0.10,0.10
meuratoh,seumatéh,0.67,10,1.00,0.90,0.90
meuranggong,meuraông,0.64,9,1.00,0.30,0.30
meurajalela,meurajalèla,0.92,1,1.00,0.10,0.10
meuracon,meukawén,0.67,8,1.00,0.20,0.20
meupeungaroh,peungaséh,0.58,8,1.00,0.10,0.10
peanyaket,peutakôt,0.56,7,1.00,0.10,0.10
peunutoh,peuniléh,0.67,10,1.00,0.60,0.60
peunilek,ceunulék,0.67,3,1.00,0.20,0.20
peungikot,eungkôt,0.67,8,1.00,0.10,0.10
peungaroh,teunarôh,0.67,6,1.00,0.30,0.30
peuneuyoh,peureuséh,0.70,7,1.00,0.70,0.70
peundukong,peunyaréng,0.64,9,1.00,0.70,0.70
peunajoh,peungarôh,0.70,10,1.00,1.00,1.00
peulindong,peulampông,0.64,10,1.00,0.90,0.90
peulhok,peulabô,0.62,9,1.00,0.40,0.40
peuleugot,peukeujôt,0.70,5,1.00,0.50,0.50
peulet,peuleugôt,0.70,9,1.00,0.90,0.90
peulaken,peulampông,0.64,10,1.00,0.40,0.40
peulagot,seulangkôt,0.64,8,1.00,0.30,0.30
peulabohan,peulabôhan,0.91,1,1.00,0.60,0.60
peulabo,peukabèh,0.67,10,1.00,0.70,0.70
peukurong,seukréng,0.67,10,1.00,0.90,0.90
peukupong,peuhubông,0.70,9,1.00,1.00,1.00
peukeureuteng,pubeureutôh,0.62,9,1.00,0.40,0.40
peukeundo,peukeujôt,0.70,2,1.00,0.20,0.20
peukeumbong,peusambông,0.64,10,1.00,0.70,0.70
peukeujot,teukejôt,0.67,8,1.00,0.70,0.70
peukabeh,peulabôhan,0.64,8,1.00,0.50,0.50
peujok,peuék,0.67,5,1.00,0.20,0.20
peujeuoh,peureuté,0.67,9,1.00,0.80,0.80
peujayeh,peujeuôh,0.67,7,1.00,0.40,0.40
peugule,peutalô,0.62,10,1.00,0.50,0.50
meuseuke,meureuôh,0.67,9,1.00,0.20,0.20
meusen,meusaéng,0.67,10,1.00,0.30,0.30
meusambong,meusaéng,0.70,9,1.00,1.00,1.00
meusaeng,meujaréng,0.70,8,1.00,0.80,0.80
meuraong,meujaréng,0.70,8,1.00,0.80,0.80
meurante,seurabèe,0.67,10,1.00,0.90,0.90
meurandeh,meuranté,0.67,4,1.00,0.10,0.10
meurabe,meuranté,0.67,8,1.00,0.50,0.50
meunurot,meusulét,0.67,9,1.00,0.70,0.70
meumusoh,geumaséh,0.67,7,1.00,0.40,0.40
meulunco,meulônté,0.70,3,1.00,0.30,0.30
meulonte,meulakèe,0.67,7,1.00,0.20,0.20
meulindong,teupeulindông,0.64,10,1.00,0.80,0.80
meulambong,meuampông,0.70,10,1.00,1.00,1.00
meulaen,meuraông,0.67,9,1.00,0.60,0.60
meukleh,peualôh,0.62,9,1.00,0.40,0.40
peujampoh,peujayéh,0.67,7,1.00,0.20,0.20
peuile,peuniléh,0.67,7,1.00,0.20,0.20
peuhubong,peukeumbông,0.67,9,1.00,0.50,0.50
peugumbok,teunumpôk,0.60,10,1.00,0.10,0.10
peugleh,peutrôh,0.62,10,1.00,0.80,0.80
peuget,leugôt,0.71,6,1.00,0.60,0.60
peugadee,geumadèe,0.67,6,1.00,0.20,0.20
peugabong,peuhubông,0.70,3,1.00,0.30,0.30
peueleh,peuniléh,0.67,10,1.00,0.80,0.80
peuek,peujôk,0.71,9,1.00,0.90,0.90
peudeh,peuèlèh,0.67,8,1.00,0.40,0.40
peudamee,jeulamèe,0.67,6,1.00,0.10,0.10
peucre-bre,seurabèe,0.50,10,1.00,0.10,0.10
peucoh-coh,peucré-bré,0.58,3,1.00,0.10,0.10
peucaye,peuthèe,0.62,10,1.00,0.60,0.60
peuayon-ayon,peuangèn-angèn,0.62,2,1.00,0.10,0.10
peuayon,peujayéh,0.67,10,1.00,0.70,0.70
peuaseng,peulampông,0.64,8,1.00,0.30,0.30
peuase,peurisèe,0.67,8,1.00,0.50,0.50
peuangen-angen,peuayôn-ayôn,0.57,4,1.00,0.10,0.10
peuanco,peuabéh,0.62,10,1.00,0.20,0.20
meunarek,meusaré,0.62,10,1.00,0.20,0.20
peuampon,meugampông,0.64,10,1.00,0.70,0.70
peualoh,peuabéh,0.75,7,1.00,1.00,1.00
peuagong,peunténg,0.67,10,1.00,0.80,0.80
peuabeh,peutrôh,0.62,9,1.00,0.40,0.40
petran,peutrôn,0.75,3,1.00,0.50,0.50
peteunah,peuteuntèe,0.64,10,1.00,0.50,0.50
pesta,peutalô,0.62,5,1.00,0.20,0.20
pers'en,periskôp,0.56,10,1.00,0.10,0.10
periskop,pôtôkopi,0.50,4,1.00,0.10,0.10
peodal,peudamèe,0.56,8,1.00,0.10,0.10
pentilasi,èseutilah,0.50,7,1.00,0.10,0.10
peng,pèna,0.60,10,1.00,0.20,0.20
peh,peurôh,0.57,10,1.00,0.20,0.20
payong,dayông,0.71,8,1.00,0.80,0.80
patoh,pasèh,0.67,9,1.00,0.30,0.30
pateh,pajôh,0.67,10,1.00,0.30,0.30
parlemen,porselén,0.56,5,1.00,0.20,0.20
parek,paréksa,0.62,8,1.00,0.20,0.20
pante,palèe,0.67,10,1.00,0.40,0.40
pangulee,panggông,0.56,9,1.00,0.10,0.10
panggong,mangkông,0.67,10,1.00,0.80,0.80
